message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,A business is sending a non-urgent update that does not need to interrupt the user.,0.78,message_0243;message_0102
msg_091,mute,scam,The message asks for sensitive verification details under urgency or account-risk pressure.,0.88,message_0238;message_0381
msg_090,digest,personal,The message is safe but not urgent enough to interrupt the user right now.,0.78,none
msg_048,mute,forward,Similar messages from this sender were previously reported by the user.,0.8800000000000001,message_0151;message_0152
msg_040,mute,forward,"The user has muted this group, so its messages should not interrupt them.",0.9,message_0136;message_0135
msg_075,digest,business_update,A business is sending a non-urgent update that does not need to interrupt the user.,0.78,message_0206;message_0205
msg_005,digest,personal,The message is safe but not urgent enough to interrupt the user right now.,0.78,message_0065;message_0049
msg_104,mute,greeting,The sender has a pattern of repeated messages that the user usually ignores or dismisses.,0.8300000000000001,message_0224;message_0383
msg_069,mute,forward,"The user has muted this group, so its messages should not interrupt them.",0.9,message_0177;message_0193
msg_107,digest,forward,The message is safe but not urgent enough to interrupt the user right now.,0.78,message_0213;message_0235
msg_070,mute,scam,The message asks for sensitive verification details under urgency or account-risk pressure.,0.88,message_0369;message_0213
msg_003,notify,business_update,A verified business is sending a time-sensitive update relevant to the user's recent activity.,0.85,message_0400;message_0031
msg_099,digest,personal,The message is safe but not urgent enough to interrupt the user right now.,0.78,message_0227;message_0249
msg_008,digest,business_update,A business is sending a non-urgent update that does not need to interrupt the user.,0.78,message_0296;message_0072
msg_092,digest,business_update,A business is sending a non-urgent update that does not need to interrupt the user.,0.78,message_0346
msg_060,digest,personal,The message is safe but not urgent enough to interrupt the user right now.,0.78,message_0284;message_0176
msg_004,notify,business_update,A verified business is sending a time-sensitive update relevant to the user's recent activity.,0.85,message_0246;message_0245
msg_030,mute,forward,"The user has muted this group, so its messages should not interrupt them.",0.9,message_0335;message_0115
msg_045,notify,urgent,The sender is trusted and the message contains a direct deadline or action needed soon.,0.85,message_0146;message_0145
msg_052,mute,scam,"The sender's domain does not match the business's official domain, a strong scam signal.",0.85,message_0208;message_0207
msg_009,mute,greeting,"The user has muted this group, so its messages should not interrupt them.",0.9,message_0074;message_0073
msg_071,digest,personal,The message is safe but not urgent enough to interrupt the user right now.,0.78,message_0197;message_0198
msg_016,mute,forward,Similar messages from this sender were previously reported by the user.,0.8800000000000001,message_0024;message_0201
msg_065,digest,business_update,A business is sending a non-urgent update that does not need to interrupt the user.,0.78,message_0261;message_0260
msg_038,mute,forward,The sender has a pattern of repeated messages that the user usually ignores or dismisses.,0.8300000000000001,message_0131;message_0132
msg_086,digest,business_update,A business is sending a non-urgent update that does not need to interrupt the user.,0.78,message_0222
msg_014,mute,promotion,The sender has a pattern of repeated messages that the user usually ignores or dismisses.,0.8300000000000001,message_0258;message_0018
msg_094,mute,promotion,The sender has a pattern of repeated messages that the user usually ignores or dismisses.,0.8300000000000001,message_0356
msg_029,digest,forward,The message is safe but not urgent enough to interrupt the user right now.,0.78,message_0113;message_0332
msg_105,mute,forward,The sender has a pattern of repeated messages that the user usually ignores or dismisses.,0.8300000000000001,message_0373;message_0233
msg_002,notify,urgent,The sender is trusted and the message contains a direct deadline or action needed soon.,0.85,message_0003;message_0041
msg_010,digest,business_update,A business is sending a non-urgent update that does not need to interrupt the user.,0.78,message_0011;message_0242
msg_078,mute,forward,"The user has muted this group, so its messages should not interrupt them.",0.9,message_0211;message_0212
msg_013,mute,greeting,The sender has a pattern of repeated messages that the user usually ignores or dismisses.,0.8300000000000001,message_0081;message_0082
msg_018,mute,forward,Similar messages from this sender were previously reported by the user.,0.8800000000000001,message_0091;message_0092
msg_044,mute,scam,The message asks for sensitive verification details under urgency or account-risk pressure.,0.88,message_0143;message_0144
msg_032,notify,urgent,A trusted group admin sent a time-sensitive update that should interrupt the user.,0.87,message_0119;message_0285
msg_106,notify,urgent,The sender is trusted and the message contains a direct deadline or action needed soon.,0.85,message_0376;message_0234
msg_006,digest,personal,The message is safe but not urgent enough to interrupt the user right now.,0.78,message_0097;message_0067
